#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:17:72	Astro Strobel Kommunikationssysteme Gmbh
00:17:73	Laketune Technologies Co.
00:17:74	Elesta GmbH
00:17:75	TTE Germany GmbH
00:17:76	Meso Scale Diagnostics
00:17:77	Obsidian Research
00:17:78	Central Music Co.
00:17:79	QuickTel
00:17:7A	Assa Abloy AB
00:17:7B	Azalea Networks
00:17:7C	D-Link India
00:17:7D	IDT International Limited
00:17:7E	Meshcom Technologies
00:17:7F	Worldsmart Retech
00:17:80	Applera Holding B.V. Singapore Operations
00:17:81	Greystone Data System
00:17:82	LoBenn
00:17:83	Texas Instruments
00:17:84	Motorola Mobile Devices
00:17:85	Sparr Electronics
00:17:86	wisembed
00:17:87	Brother, Brother & Sons ApS
00:17:88	Philips Lighting BV
00:17:89	Zenitron
00:17:8A	Darts Technologies
00:17:8B	Teledyne Technologies Incorporated
00:17:8C	Independent Witness
00:17:8D	Checkpoint Systems
00:17:8E	Gunnebo Cash Automation AB
00:17:8F	Ningbo Yidong Electronic Co.
00:17:90	Hyundai Digitech Co
00:17:91	LinTech GmbH
00:17:92	Falcom Wireless Comunications Gmbh
00:17:93	Tigi
00:17:94	Cisco Systems
00:17:95	Cisco Systems
00:17:96	Rittmeyer AG
00:17:97	Telsy Elettronica S.p.A.
00:17:98	Azonic Technology Co.
00:17:99	SmarTire Systems
00:17:9A	D-Link
00:17:9B	Chant Sincere CO.
00:17:9C	Deprag Schulz Gmbh u. CO.
00:17:9D	Kelman Limited
00:17:9E	Sirit
00:17:9F	Apricorn
00:17:A0	RoboTech srl
00:17:A1	3soft
00:17:A2	Camrivox
00:17:A3	MIX s.r.l.
00:17:A4	Global Data Services
00:17:A5	TrendChip Technologies
00:17:A6	Yosin Electronics CO.
00:17:A7	Mobile Computing Promotion Consortium
00:17:A8	EDM
00:17:A9	Sentivision
00:17:AA	elab-experience
00:17:AB	Nintendo Co.
00:17:AC	O'Neil Product Development
00:17:AD	AceNet
00:17:AE	GAI-Tronics
00:17:AF	Enermet
00:17:B0	Nokia Danmark A/S
00:17:B1	Acist Medical Systems
00:17:B2	SK Telesys
00:17:B3	Aftek Infosys Limited
00:17:B4	Remote Security Systems
00:17:B5	Peerless Systems
00:17:B6	Aquantia
00:17:B7	Tonze Technology Co.
00:17:B8	Novatron CO.
00:17:B9	Gambro Lundia AB
00:17:BA	Sedo CO.
00:17:BB	Syrinx Industrial Electronics
00:17:BC	Touchtunes Music
00:17:BD	Tibetsystem
00:17:BE	Tratec Telecom B.V.
00:17:BF	Coherent Research Limited
00:17:C0	PureTech Systems
00:17:C1	CM Precision Technology
00:17:C2	Pirelli Broadband Solutions
00:17:C3	KTF Technologies
00:17:C4	Quanta Microsystems
00:17:C5	SonicWALL
00:17:C6	Labcal Technologies
00:17:C7	Mara Systems Consulting AB
00:17:C8	Kyocera Mita
00:17:C9	Samsung Electronics Co.
00:17:CA	BenQ
00:17:CB	Juniper Networks
00:17:CC	Alcatel USA Sourcing LP
00:17:CD	CEC Wireless R&D
00:17:CE	MB International Telecom Labs srl
00:17:CF	iMCA-GmbH
00:17:D0	Opticom Communications
00:17:D1	Nortel
00:17:D2	Thinlinx
00:17:D3	Etymotic Research
00:17:D4	Monsoon Multimedia
00:17:D5	Samsung Electronics Co.
00:17:D6	Bluechips Microhouse Co.
00:17:D7	Input/Output
00:17:D8	Magnum Semiconductor
00:17:D9	AAI
00:17:DA	Spans Logic
00:17:DB	Private
00:17:DC	Daemyung Zero1
00:17:DD	Clipsal Australia
00:17:DE	Advantage Six
00:17:DF	Cisco Systems
00:17:E0	Cisco Systems
00:17:E1	Dacos Technologies Co.
00:17:E2	Motorola Mobile Devices
00:17:E3	Texas Instruments
00:17:E4	Texas Instruments
00:17:E5	Texas Instruments
00:17:E6	Texas Instruments
00:17:E7	Texas Instruments
00:17:E8	Texas Instruments
00:17:E9	Texas Instruments
00:17:EA	Texas Instruments
00:17:EB	Texas Instruments
00:17:EC	Texas Instruments
00:17:ED	WooJooIT
00:17:EE	Motorola CHS
00:17:EF	Blade Network Technologies
00:17:F0	Szcom Broadband Network Technology Co.
00:17:F1	Renu Electronics Pvt
00:17:F2	Apple Computer
00:17:F3	M/A-COM Wireless Systems
00:17:F4	Zeron Alliance
00:17:F5	Neoptek
00:17:F6	Pyramid Meriden
00:17:F7	CEM Solutions Pvt
00:17:F8	Motech Industries
00:17:F9	Forcom Sp. z o.o.
00:17:FA	Microsoft
00:17:FB	FA
00:17:FC	Suprema
00:17:FD	Amulet Hotkey
00:17:FE	Talos System
00:17:FF	Playline Co.
00:18:00	Unigrand
00:18:01	Actiontec Electronics
00:18:02	Alpha Networks
00:18:03	ArcSoft Shanghai Co.
00:18:04	E-tek Digital Technology Limited
00:18:05	Beijing InHand Networking
00:18:06	Hokkei Industries Co.
00:18:07	Fanstel
00:18:08	SightLogix
00:18:09	Cresyn
00:18:0A	Meraki Networks
00:18:0B	Brilliant Telecommunications
00:18:0C	Optelian Access Networks
00:18:0D	Terabytes Server Storage Tech
00:18:0E	Avega Systems
00:18:0F	Nokia Danmark A/S
00:18:10	IPTrade S.A.
00:18:11	Neuros Technology International
00:18:12	Beijing Xinwei Telecom Technology Co.
00:18:13	Sony Ericsson Mobile Communications
00:18:14	Mitutoyo
00:18:15	GZ Technologies
00:18:16	Ubixon Co.
00:18:17	D. E. Shaw Research
00:18:18	Cisco Systems
00:18:19	Cisco Systems
00:18:1A	AVerMedia Technologies
00:18:1B	TaiJin Metal Co.
00:18:1C	Exterity Limited
00:18:1D	Asia Electronics Co.
00:18:1E	GDX Technologies
00:18:1F	Palmmicro Communications
00:18:20	w5networks
00:18:21	Sindoricoh
00:18:22	CEC Telecom Co.
00:18:23	Delta Electronics
00:18:24	Kimaldi Electronics
00:18:25	Wavion
00:18:26	Cale Access AB
00:18:27	NEC Philips Unified Solutions Nederland BV
00:18:28	e2v technologies (UK)
00:18:29	Gatsometer
00:18:2A	Taiwan Video & Monitor
00:18:2B	Softier
00:18:2C	Ascend Networks
00:18:2D	Artec Group OÜ
00:18:2E	Wireless Ventures USA
00:18:2F	Texas Instruments
00:18:30	Texas Instruments
00:18:31	Texas Instruments
00:18:32	Texas Instruments
00:18:33	Texas Instruments
00:18:34	Texas Instruments
00:18:35	ITC
00:18:36	Reliance Electric Limited
00:18:37	Universal Abit Co.
00:18:38	PanAccess Communications
00:18:39	Cisco-Linksys
00:18:3A	Westell Technologies
00:18:3B	Cenits Co.
00:18:3C	Encore Software Limited
00:18:3D	Vertex Link
00:18:3E	Digilent
00:18:3F	2Wire
00:18:40	3 Phoenix
00:18:41	High Tech Computer
00:18:42	Nokia Danmark A/S
00:18:43	Dawevision
00:18:44	Heads Up Technologies
00:18:45	NPL Pulsar
00:18:46	Crypto S.A.
00:18:47	AceNet Technology
00:18:48	Vcom
00:18:49	Pigeon Point Systems
00:18:4A	Catcher
00:18:4B	Las Vegas Gaming
00:18:4C	Bogen Communications
00:18:4D	Netgear
00:18:4E	Lianhe Technologies
00:18:4F	8 Ways Technology
00:18:50	Secfone Kft
00:18:51	SWsoft
00:18:52	StorLink Semiconductors
00:18:53	Atera Networks
00:18:54	Argard Co.
00:18:55	Aeromaritime Systembau GmbH
00:18:56	EyeFi
00:18:57	Unilever R&D
00:18:58	TagMaster AB
00:18:59	Strawberry Linux Co.
00:18:5A	uControl
00:18:5B	Network Chemistry
00:18:5C	EDS Lab Pte
00:18:5D	Taiguen Technology (shen-zhen) CO.
00:18:5E	Nexterm
00:18:5F	TAC
00:18:60	SIM Technology Group Shanghai Simcom,
00:18:61	Ooma
00:18:62	Seagate Technology
00:18:63	Veritech Electronics Limited
00:18:64	Cybectec
00:18:65	Bayer Diagnostics Sudbury
00:18:66	Leutron Vision
00:18:67	Evolution Robotics Retail
00:18:68	Scientific Atlanta, A Cisco Company
00:18:69	Kingjim
00:18:6A	Global Link Digital Technology Co
00:18:6B	Sambu Communics CO.
00:18:6C	Neonode AB
00:18:6D	Zhenjiang Sapphire Electronic Industry CO.
00:18:6E	3COM Europe
00:18:6F	Setha Industria Eletronica Ltda
00:18:70	E28 Shanghai Limited
00:18:71	Global Data Services
00:18:72	Expertise Engineering
00:18:73	Cisco Systems
00:18:74	Cisco Systems
00:18:75	AnaCise Testnology Pte
00:18:76	WowWee
00:18:77	Amplex A/S
00:18:78	Mackware GmbH
00:18:79	dSys
00:18:7A	Wiremold
00:18:7B	4NSYS Co.
00:18:7C	Intercross
00:18:7D	Armorlink shanghai Co.
00:18:7E	RGB Spectrum
00:18:7F	Zodianet
00:18:80	Mobilygen
00:18:81	Buyang Electronics Industrial Co.
00:18:82	Huawei Technologies Co.
00:18:83	Formosa21
00:18:84	FON
00:18:85	Avigilon
00:18:86	El-tech
00:18:87	Metasystem SpA
00:18:88	Gotive a.s.
00:18:89	WinNet Solutions Limited
00:18:8A	Infinova
00:18:8B	Dell
00:18:8C	Mobile Action Technology
00:18:8D	Nokia Danmark A/S
00:18:8E	Ekahau
00:18:8F	Montgomery Technology
00:18:90	RadioCOM, s.r.o.
00:18:91	Zhongshan General K-mate Electronics Co.
00:18:92	ads-tec GmbH
00:18:93	Shenzhen Photon Broadband Technology Co.
00:18:94	zimocom
00:18:95	Hansun Technologies
00:18:96	Great Well Electronic
00:18:97	Jess-link Products Co.
00:18:98	Kingstate Electronics
00:18:99	ShenZhen jieshun Science&Technology Industry CO
00:18:9A	Hana Micron
00:18:9B	Thomson
00:18:9C	Weldex
00:18:9D	Navcast
00:18:9E	Omnikey GmbH.
00:18:9F	Lenntek
00:18:A0	Cierma Ascenseurs
00:18:A1	Tiqit Computers
00:18:A2	XIP Technology AB
00:18:A3	Zippy Technology
00:18:A4	Motorola Mobile Devices
00:18:A5	ADigit Technologies
00:18:A6	Persistent Systems
00:18:A7	Yoggie Security Systems
00:18:A8	AnNeal Technology
00:18:A9	Ethernet Direct
00:18:AA	Private
00:18:AB	Beijing Lhwt Microelectronics
00:18:AC	Shanghai Jiao Da Hisys Technology Co.
00:18:AD	Nidec Sankyo
00:18:AE	Tongwei Video Technology CO.
00:18:AF	Samsung Electronics Co.
00:18:B0	Nortel
00:18:B1	Blade Network Technologies
00:18:B2	Adeunis RF
00:18:B3	TEC WizHome Co.
00:18:B4	Dawon Media
00:18:B5	Magna Carta
00:18:B6	S3C
00:18:B7	D3 LED
00:18:B8	New Voice International AG
00:18:B9	Cisco Systems
00:18:BA	Cisco Systems
00:18:BB	Eliwell Controls srl
00:18:BC	ZAO NVP Bolid
00:18:BD	Shenzhen Dvbworld Technology CO.
00:18:BE	Ansa
00:18:BF	Essence Technology Solution
00:18:C0	Motorola CHS
00:18:C1	Almitec Informática e Comércio Ltda.
00:18:C2	Firetide
00:18:C3	C&S Microwave
00:18:C4	Raba Technologies
00:18:C5	Nokia Danmark A/S
00:18:C6	OPW Fuel Management Systems
00:18:C7	Real Time Automation
00:18:C8	Isonas
00:18:C9	EOps Technology Limited
00:18:CA	Viprinet GmbH
00:18:CB	Tecobest Technology Limited
00:18:CC	Axiohm SAS
00:18:CD	Erae Electronics Industry Co.
00:18:CE	Dreamtech Co.
00:18:CF	Baldor Electric Company
00:18:D0	@road
00:18:D1	Siemens Home & Office Comm. Devices
00:18:D2	High-Gain Antennas
00:18:D3	Teamcast
00:18:D4	Unified Display Interface SIG
00:18:D5	Reigncom
00:18:D6	Swirlnet A/S
00:18:D7	Javad Navigation Systems
00:18:D8	Arch Meter
00:18:D9	Santosha Internatonal
00:18:DA	Amber Wireless Gmbh
00:18:DB	EPL Technology
00:18:DC	Prostar Co.
00:18:DD	Silicondust Engineering
00:18:DE	Intel
00:18:DF	The Morey
00:18:E0	Anaveo
00:18:E1	Verkerk Service Systemen
00:18:E2	Topdata Sistemas de Automacao Ltda
00:18:E3	Visualgate Systems
00:18:E4	Yiguang
00:18:E5	Adhoco AG
00:18:E6	Computer Hardware Design SIA
00:18:E7	Cameo Communications
00:18:E8	Hacetron
00:18:E9	Numata
00:18:EA	Alltec GmbH
00:18:EB	BroVis Wireless Networks
00:18:EC	Welding Technology
00:18:ED	Accutech International CO.
00:18:EE	Videology Imaging Solutions
00:18:EF	Escape Communications
00:18:F0	Joytoto Co.
00:18:F1	Chunichi Denshi Co.
00:18:F2	Beijing Tianyu Communication Equipment Co.
00:18:F3	Asustek Computer
00:18:F4	EO Technics Co.
00:18:F5	Shenzhen Streaming Video Technology Company Limited
00:18:F6	Thomson Telecom Belgium
00:18:F7	Kameleon Technologies
00:18:F8	Cisco-Linksys
00:18:F9	Vvond
00:18:FA	Yushin Precision Equipment Co.
00:18:FB	Compro Technology
00:18:FC	Altec Electronic AG
00:18:FD	Optimal Technologies International
00:18:FE	Hewlett Packard
00:18:FF	PowerQuattro Co.
00:19:00	Intelliverese - DBA Voicecom
00:19:01	F1media
00:19:02	Cambridge Consultants
00:19:03	Bigfoot Networks
00:19:04	WB Electronics Sp. z o.o.
00:19:05	Schrack Seconet AG
00:19:06	Cisco Systems
00:19:07	Cisco Systems
00:19:08	Duaxes
00:19:09	Devi A/S
00:19:0A	Hasware
00:19:0B	Southern Vision Systems
00:19:0C	Encore Electronics
00:19:0D	Ieee 1394c
00:19:0E	Atech Technology Co.
00:19:0F	Advansus
00:19:10	Knick Elektronische Messgeraete GmbH & Co. KG
00:19:11	Just In Mobile Information Technologies (Shanghai) Co.
00:19:12	Welcat
00:19:13	Chuang-Yi Network EquipmentLtd.
00:19:14	Winix Co.
00:19:15	Tecom Co.
00:19:16	PayTec AG
00:19:17	Posiflex
00:19:18	Interactive Wear AG
00:19:19	Astel
00:19:1A	Irlink
00:19:1B	Sputnik Engineering AG
00:19:1C	Sensicast Systems
00:19:1D	Nintendo Co.
00:19:1E	Beyondwiz Co.
00:19:1F	Microlink communications
00:19:20	Kume Electric Co.
00:19:21	Elitegroup Computer System Co.
00:19:22	CM Comandos Lineares
00:19:23	Phonex Korea Co.
00:19:24	Lbnl  Engineering
00:19:25	Intelicis
00:19:26	BitsGen Co.
00:19:27	ImCoSys
00:19:28	Siemens AG, Transportation Systems
00:19:29	2m2b Montadora de Maquinas Bahia Brasil Ltda
00:19:2A	Antiope Associates
00:19:2B	Hexagram
00:19:2C	Motorola Mobile Devices
00:19:2D	Nokia
00:19:2E	Spectral Instruments
00:19:2F	Cisco Systems
00:19:30	Cisco Systems
00:19:31	Balluff GmbH
00:19:32	Gude Analog- und Digialsysteme GmbH
00:19:33	Strix Systems
00:19:34	Trendon Touch Technology
00:19:35	Duerr Dental GmbH & Co. KG
00:19:36	Sterlite Optical Technologies Limited
00:19:37	CommerceGuard AB
00:19:38	UMB Communications Co.
00:19:39	Gigamips
00:19:3A	Oesolutions
00:19:3B	Deliberant
00:19:3C	HighPoint Technologies Incorporated
00:19:3D	GMC Guardian Mobility
00:19:3E	Pirelli Broadband Solutions
00:19:3F	RDI technology(Shenzhen) Co.
00:19:40	Rackable Systems
00:19:41	Pitney Bowes
00:19:42	ON Software International Limited
00:19:43	Belden
00:19:44	Fossil Partners
00:19:45	Ten-Tec
00:19:46	Cianet Industria e Comercio S/A
00:19:47	Scientific Atlanta, A Cisco Company
00:19:48	AireSpider Networks
00:19:49	Tentel  Comtech CO.
00:19:4A	Testo AG
00:19:4B	Sagem Communication
00:19:4C	Fujian Stelcom information & Technology CO.
00:19:4D	Avago Technologies Sdn Bhd
00:19:4E	Ultra Electronics - TCS (Tactical Communication Systems)
00:19:4F	Nokia Danmark A/S
00:19:50	Harman Multimedia
00:19:51	Netcons, S.r.o.
00:19:52	Acogito Co.
00:19:53	Chainleader Communications
00:19:54	Leaf
00:19:55	Cisco Systems
00:19:56	Cisco Systems
00:19:57	Saafnet Canada
00:19:58	Bluetooth SIG
00:19:59	Staccato Communications
00:19:5A	Jenaer Antriebstechnik GmbH
00:19:5B	D-Link
00:19:5C	Innotech
00:19:5D	ShenZhen XinHuaTong Opto Electronics Co.
00:19:5E	Motorola CHS
00:19:5F	Valemount Networks
00:19:60	DoCoMo Systems
00:19:61	Blaupunkt GmbH
00:19:62	Commerciant
00:19:63	Sony Ericsson Mobile Communications AB
00:19:64	Doorking
00:19:65	YuHua TelTech (ShangHai) Co.
00:19:66	Asiarock Technology Limited
00:19:67	Teldat Sp.J.
00:19:68	Digital Video Networks(Shanghai) CO.
00:19:69	Nortel
00:19:6A	MikroM GmbH
00:19:6B	Danpex
00:19:6C	Etrovision Technology
00:19:6D	Raybit Systems Korea
00:19:6E	Metacom (Pty)
00:19:6F	SensoPart GmbH
00:19:70	Z-Com
00:19:71	Guangzhou Unicomp Technology Co.
00:19:72	Plexus (Xiamen) Co.
00:19:73	Zeugma Systems
00:19:74	AboCom Systems
00:19:75	Beijing Huisen networks technology
00:19:76	Xipher Technologies
00:19:77	Aerohive Networks
00:19:78	Datum Systems
00:19:79	Nokia Danmark A/S
00:19:7A	MAZeT GmbH
00:19:7B	Picotest
00:19:7C	Riedel Communications GmbH
00:19:7D	Hon Hai Precision Ind. Co.
00:19:7E	Hon Hai Precision Ind. Co.
00:19:7F	Plantronics
00:19:80	Gridpoint Systems
00:19:81	Vivox
00:19:82	SmarDTV
00:19:83	CCT R&D Limited
00:19:84	Estic
00:19:85	IT Watchdogs
00:19:86	Cheng Hongjian
00:19:87	Panasonic Mobile Communications Co.
00:19:88	Wi2Wi
00:19:89	Sonitrol
00:19:8A	Northrop Grumman Systems
00:19:8B	Novera Optics Korea
00:19:8C	iXSea
00:19:8D	Ocean Optics
00:19:8E	Oticon A/S
00:19:8F	Alcatel Bell N.V.
00:19:90	ELM Data Co.
00:19:91	avinfo
00:19:92	Bluesocket
00:19:93	Changshu Switchgear MFG. Co.,Ltd. (Former Changshu Switchgea
00:19:94	Jorjin technologies
00:19:95	Jurong Hi-Tech (Suzhou)Co.ltd
00:19:96	TurboChef Technologies
00:19:97	Soft Device Sdn Bhd
00:19:98	Sato
00:19:99	Fujitsu Siemens Computers
00:19:9A	Edo-evi
00:19:9B	Diversified Technical Systems
00:19:9C	Ctring
00:19:9D	V
00:19:9E	Showadenshi Electronics
00:19:9F	DKT A/S
00:19:A0	Nihon Data Systens
00:1C:7C	Perq Systems
00:20:00	Lexmark International
00:20:01	DSP Solutions
00:20:02	Seritech Enterprise CO.
00:20:03	Pixel Power
00:20:04	Yamatake-honeywell CO.
00:20:05	Simple Technology
00:20:06	Garrett Communications
00:20:07	SFA
00:20:08	Cable & Computer Technology
00:20:09	Packard Bell Elec.
00:20:0A	Source-comm
00:20:0B	Octagon Systems
00:20:0C	Adastra Systems
00:20:0D	Carl Zeiss
00:20:0E	Satellite Technology MGMT
00:20:0F	Tanbac CO.
00:20:10	Jeol System Technology CO.
00:20:11	Canopus CO.
00:20:12	Camtronics Medical Systems
00:20:13	Diversified Technology
00:20:14	Global View CO.
00:20:15	Actis Computer SA
00:20:16	Showa Electric Wire & Cable CO
00:20:17	Orbotech
00:20:18	CIS Technology
00:20:19	Ohler Gmbh
00:20:1A	MRV Communications
00:20:1B	Northern Telecom/network
00:20:1C	Excel
00:20:1D	Katana Products
00:20:1E	Netquest
00:20:1F	Best Power Technology
00:20:20	Megatron Computer Industries
00:20:21	Algorithms Software PVT.
00:20:22	NMS Communications
00:20:23	T.C. Technologies
00:20:24	Pacific Communication Sciences
00:20:25	Control Technology
00:20:26	Amkly Systems
00:20:27	Ming Fortune Industry CO.
00:20:28	West EGG Systems
00:20:29	Teleprocessing Products
00:20:2A	N.V. Dzine
00:20:2B	Advanced Telecommunications Modules
00:20:2C	Welltronix CO.
00:20:2D	Taiyo
00:20:2E	Daystar Digital
00:20:2F	Zeta Communications
00:20:30	Analog & Digital Systems
00:20:31	Ertec Gmbh
00:20:32	Alcatel Taisel
00:20:33	Synapse Technologies
00:20:34	Rotec Industrieautomation Gmbh
00:20:35	IBM
00:20:36	BMC Software
00:20:37	Seagate Technology
00:20:38	VME Microsystems International
00:20:39	Scinets
00:20:3A	Digital Bi0metrics
00:20:3B	Wisdm
00:20:3C	Eurotime AB
00:20:3D	Novar Electronics
00:20:3E	LogiCan Technologies
00:20:3F	Juki
00:20:40	Motorola Broadband Communications Sector
00:20:41	Data NET
00:20:42	Datametrics
00:20:43	Neuron Company Limited
00:20:44	Genitech
00:20:45	ION Networks
00:20:46	Ciprico
00:20:47	Steinbrecher
00:20:48	Marconi Communications
00:20:49	Comtron
00:20:4A	Pronet Gmbh
00:20:4B	Autocomputer CO.
00:20:4C	Mitron Computer PTE
00:20:4D	Inovis Gmbh
00:20:4E	Network Security Systems
00:20:4F	Deutsche Aerospace AG
00:20:50	Korea Computer
00:20:51	Verilink
00:20:52	Ragula Systems
00:20:53	Huntsville Microsystems
00:20:54	Eastern Research
00:20:55	Altech CO.
00:20:56	Neoproducts
00:20:57	Titze Datentechnik Gmbh
00:20:58	Allied Signal
00:20:59	Miro Computer Products AG
00:20:5A	Computer Identics
00:20:5B	Kentrox
00:20:5C	InterNet Systems of Florida
00:20:5D	Nanomatic OY
00:20:5E	Castle ROCK
00:20:5F	Gammadata Computer Gmbh
00:20:60	Alcatel Italia S.p.a.
00:20:61	Dynatech Communications
00:20:62	Scorpion Logic
00:20:63	Wipro Infotech
00:20:64	Protec Microsystems
00:20:65	Supernet Networking
00:20:66	General Magic
00:20:67	Private
00:20:68	Isdyne
00:20:69	Isdn Systems
00:20:6A	Osaka Computer
00:20:6B	Konica Minolta Holdings
00:20:6C	Evergreen Technology
00:20:6D	Data RACE
00:20:6E	XACT
00:20:6F	Flowpoint
00:20:70	Hynet
00:20:71	IBR Gmbh
00:20:72	Worklink Innovations
00:20:73	Fusion Systems
00:20:74	Sungwoon Systems
00:20:75	Motorola Communication Israel
00:20:76	Reudo
00:20:77	Kardios Systems
00:20:78	Runtop
00:20:79	Mikron Gmbh
00:20:7A	WiSE Communications
00:20:7B	Intel
00:20:7C	Autec Gmbh
00:20:7D	Advanced Computer Applications
00:20:7E	Finecom Co.
00:20:7F	Kyoei Sangyo CO.
00:20:80	Synergy (uk)
00:20:81	Titan Electronics
00:20:82	Oneac
00:20:83	Presticom Incorporated
00:20:84	OCE Printing Systems
00:20:85	Exide Electronics
00:20:86	Microtech Electronics Limited
00:20:87	Memotec Communications
00:20:88	Global Village Communication
00:20:89	T3plus Networking
00:20:8A	Sonix Communications
00:20:8B	Lapis Technologies
00:20:8C	Galaxy Networks
00:20:8D	CMD Technology
00:20:8E	Chevin Software ENG.
00:20:8F	ECI Telecom
00:20:90	Advanced Compression Technology
00:20:91	J125, National Security Agency
00:20:92	Chess Engineering B.V.
00:20:93	Landings Technology
00:20:94	Cubix
00:20:95	Riva Electronics
00:20:96	Invensys
00:20:97	Applied Signal Technology
00:20:98	Hectronic AB
00:20:99	BON Electric CO.
00:20:9A	THE 3DO Company
00:20:9B	Ersat Electronic Gmbh
00:20:9C	Primary Access
00:20:9D	Lippert Automationstechnik
00:20:9E	Brown's Operating System Services
00:20:9F	Mercury Computer Systems
00:20:A0	OA Laboratory CO.
00:20:A1	Dovatron
00:20:A2	Galcom Networking
00:20:A3	Divicom
00:20:A4	Multipoint Networks
00:20:A5	API Engineering
00:20:A6	Proxim
00:20:A7	Pairgain Technologies
00:20:A8	Sast Technology
00:20:A9	White Horse Industrial
00:20:AA	Digimedia Vision
00:20:AB	Micro Industries
00:20:AC	Interflex Datensysteme Gmbh
00:20:AD	Linq Systems
00:20:AE	Ornet Data Communication TECH.
00:20:AF	3com
00:20:B0	Gateway Devices
00:20:B1	Comtech Research
00:20:B2	GKD Gesellschaft Fur Kommunikation Und Datentechnik
00:20:B3	Scltec Communications Systems
00:20:B4	Terma Elektronik AS
00:20:B5	Yaskawa Electric
00:20:B6	Agile Networks
00:20:B7	Namaqua Computerware
00:20:B8	Prime Option
00:20:B9	Metricom
00:20:BA	Center FOR High Performance
00:20:BB	ZAX
00:20:BC	Long Reach Networks
00:20:BD	Niobrara R &
00:20:BE	LAN Access
00:20:BF	Aehr Test Systems
00:20:C0	Pulse Electronics
00:20:C1	SAXA
00:20:C2	Texas Memory Systems
00:20:C3	Counter Solutions
00:20:C4	Inet
00:20:C5	Eagle Technology
00:20:C6	Nectec
00:20:C7	Akai Professional M.I.
00:20:C8	Larscom Incorporated
00:20:C9	Victron BV
00:20:CA	Digital Ocean
00:20:CB	Pretec Electronics
00:20:CC	Digital Services
00:20:CD	Hybrid Networks
00:20:CE	Logical Design Group
00:20:CF	Test & Measurement Systems
00:20:D0	Versalynx
00:20:D1	Microcomputer Systems (M) SDN.
00:20:D2	RAD Data Communications
00:20:D3	OST (ouest Standard Telematiqu
00:20:D4	Cabletron - Zeittnet
00:20:D5	Vipa Gmbh
00:20:D6	Breezecom
00:20:D7	Japan Minicomputer Systems CO.
00:20:D8	Nortel Networks
00:20:D9	Panasonic Technologies,/mieco-us
00:20:DA	Alcatel North America ESD
00:20:DB	Xnet Technology
00:20:DC	Densitron Taiwan
00:20:DD	Cybertec
00:20:DE	Japan Digital Laborat'yltd
00:20:DF	Kyosan Electric MFG. CO.
00:20:E0	Actiontec Electronics
00:20:E1	Alamar Electronics
00:20:E2	Information Resource Engineering
00:20:E3	MCD Kencom
00:20:E4	Hsing Tech Enterprise CO.
00:20:E5	Apex DATA
00:20:E6	Lidkoping Machine Tools AB
00:20:E7	B&W Nuclear Service Company
00:20:E8	Datatrek
00:20:E9	Dantel
00:20:EA	Efficient Networks
00:20:EB	Cincinnati Microwave
00:20:EC	Techware Systems
00:20:ED	Giga-byte Technology CO.
00:20:EE	Gtech
00:20:EF	USC
00:20:F0	Universal Microelectronics CO.
00:20:F1	Altos India Limited
00:20:F2	SUN Microsystems
00:20:F3	Raynet
00:20:F4	Spectrix
00:20:F5	Pandatel AG
00:20:F6	NET TEK  AND Karlnet
00:20:F7	Cyberdata
00:20:F8	Carrera Computers
00:20:F9	Paralink Networks
00:20:FA	GDE Systems
00:20:FB	Octel Communications
00:20:FC	Matrox
00:20:FD	ITV Technologies
00:20:FE	Topware / Grand Computer
00:20:FF	Symmetrical Technologies
00:26:54	3Com
